ticker,drift,volatility
A,0.14746773403244492,0.23142552049750936
AAL,-0.14129386050077988,0.4549923801751747
AAP,-0.048102133866552856,0.3425621662660561
AAPL,0.24270982336153857,0.23447402561098152
ABBV,0.11599966268021598,0.24293842879154118
ABT,0.1230828500165348,0.19972290276977336
ACN,0.1510124327241155,0.2143672865069754
ADBE,0.22440062711717915,0.27627344856193997
ADI,0.14644879184490617,0.25932929353183976
ADM,0.056409297430788555,0.232950377873975
ADP,0.12922095695785601,0.20335738026223166
ADSK,0.17576056922429256,0.31255570589100545
AEE,0.08042987350929838,0.18596185390595224
AEP,0.0552291207474763,0.1836762498794759
AES,0.06419316319835583,0.2885939257889376
AFL,0.10309892833739985,0.2170950117816721
AIG,0.0078062550555710415,0.28559840266186376
AIZ,0.09796091060781796,0.22827791683232612
AJG,0.1907923395995763,0.18056493282090855
AKAM,0.06880443621518484,0.2754769571084754
ALB,0.1094761532815895,0.38686876094724537
ALGN,0.18908378497345937,0.4067285479447695
ALK,-0.061204329995433286,0.41617806618525105
ALL,0.09464044352601067,0.20994000365489962
ALLE,0.08861060657088225,0.23544080101219034
AMAT,0.2343965690338539,0.3336188865595661
AMD,0.43965769203026206,0.47419696459399574
AME,0.13525911296923968,0.21388390256068826
AMGN,0.07500894708799742,0.2176087294476649
AMP,0.13821102050057196,0.28277232623714527
AMT,0.10226880440955159,0.21335319646810375
AMZN,0.2312489595120589,0.2792911695960346
ANSS,0.16428902272548315,0.24663608363381306
AON,0.1464987944221363,0.1928823690901166
AOS,0.09250791914366378,0.23532193383283942
APA,-0.09609462334736789,0.5232112908040197
APD,0.09292734868220215,0.2162405850015961
APH,0.1525321954459005,0.207835495069639
ARE,0.05406492792382312,0.21772539102200703
ATO,0.08350000713749295,0.17862006759454707
AVB,0.023741608237705318,0.20531782066428333
AVGO,0.2543267517435079,0.31816688639302665
AVY,0.14848344460054025,0.2273049606967934
AWK,0.11812895571655607,0.1921209780823494
AXP,0.1086590493688607,0.2663160903975089
AZO,0.17325568661480775,0.21751190875058024
BA,0.02967479138274464,0.3506148409157363
BAC,0.09307620823376395,0.268652819593496
BAX,-0.02002613415656962,0.28066216607933364
BBY,0.11464615999845792,0.34760709760876307
BDX,0.06804935751160562,0.1859995906957483
BEN,-0.07807356603966646,0.2844527819795733
BF.B,-0.037913306081493375,0.30487211426111965
BIO,0.14018134298279222,0.2665087645258375
BK,0.03045462277123854,0.23544611329502352
BLK,0.10259444186141264,0.23777835376933842
BMY,0.002408469370688289,0.2263207478410366
BR,0.15494862060098732,0.19697096101982425
BRK.B,0.11423330633752407,0.15969284775824752
BRO,0.18599183523348847,0.18714756498733345
BSX,0.14885429603180408,0.23491166770361308
BWA,-0.03201651354131417,0.31120134406621663
BXP,-0.06485586932853059,0.2652027269422611
C,0.0054446227211617385,0.28456563804819845
CAG,-0.018600426819466498,0.2453360728955131
CAH,0.006217565044093473,0.2545117125343104
CAT,0.13585499694032968,0.2637997830274723
CB,0.08678538728228805,0.21174354470303097
CBOE,0.10714696545564249,0.20734828665092175
CCI,0.05685576999319815,0.20867622623262724
CCL,-0.14961904665665604,0.48550854571794805
CDNS,0.30313568397944063,0.2648084903980155
CDW,0.21108168076774594,0.24766230045150264
CE,0.08315164314459672,0.298060694413465
CF,0.07157918327413967,0.36058182731399563
CHD,0.10783511273310492,0.34382805026500185
CHRW,0.04152308766721653,0.23919886860167328
CHTR,0.10070898442377021,0.2777755632735988
CI,0.11138819779301831,0.2647610067153781
CINF,0.08918603118208865,0.23432197327787482
CL,0.02579089660188206,0.15604979634472316
CLX,0.044459153773281156,0.20411954789873446
CMA,0.017496390381687665,0.36413628235252865
CMCSA,0.04601505253953286,0.21424875896463694
CME,0.10206371938042635,0.19963342756322403
CMG,0.17844646527371108,0.30445987022126847
CMI,0.08265865689411293,0.24306894611233326
CMS,0.07306010332995849,0.17764940450426678
CNC,0.12531702574860512,0.3084492470505057
CNP,0.026030274443331728,0.21873644259385155
COF,0.05936522446166794,0.3224523694459476
COO,0.10622904795328393,0.2270100423606782
COP,0.06639340421482666,0.33188635798966176
COST,0.18732327953184544,0.18253016330760058
CPB,-0.006741510234833273,0.21262833119835592
CPRT,0.2703334356470859,0.23588101766025868
CRL,0.1553330734205013,0.3023214373870281
CRM,0.1564114232688963,0.30022518822141203
CSCO,0.07787060821513135,0.2100500021669697
CSX,0.14273254966641158,0.24165960571569092
CTAS,0.23564901462979276,0.22417555962991165
CTSH,0.021780395881104708,0.330334561294185
CVS,-0.019627238480754677,0.24312342966480793
CVX,0.037748608080161075,0.24896702100744872
CZR,0.20090728430403665,0.6317557410763205
D,-0.02336209835259872,0.1910473186149344
DAL,-0.007833918422282364,0.36544212980716984
DE,0.18494860188485035,0.25489093903609766
DFS,0.0822042406723143,0.33787599692824444
DG,0.1123075068016872,0.2700644259962883
DGX,0.08637723200000952,0.21094776751030833
DHI,0.18434058975567652,0.30719187756201616
DHR,0.17412288142482216,0.20456401542131977
DIS,0.017137979335270993,0.24172566679000201
DLR,0.07824315237352054,0.2361254457133396
DLTR,0.06791947186077747,0.3040056695903897
DOV,0.09381163452570086,0.24854520324099097
DPZ,0.17066490313330493,0.2571535650501569
DRI,0.11137384961248628,0.3149235269951717
DTE,0.041677162799730494,0.19692665728322986
DUK,0.03584178929143986,0.1721317804116679
DVA,0.05797114133863471,0.2851528641742935
DVN,-0.02019295264935152,0.4557377710362473
EA,0.11136937476621651,0.2530836841025062
EBAY,0.08898436507427869,0.2625030137324054
ECL,0.07261010386745607,0.20892886713852923
